,Besuche,Besucher,Besuchsh_ufigkeit,Seitenaufrufe,Seiten_pro_Besuch,Anteil_Besuche_mit_Cookies_pct,Anteil_Besucher_mit_Cookies_pct,Bounce_Rate_pct,Zeit_im_Besuch_sek,Bounce_Zeit_sek
Besuche,1.0,0.9967092166635995,-0.26765396615453274,0.9934196509153801,0.8411279227866402,0.3847465938973966,0.4319520587198493,-0.8075177095593122,0.15668240893086086,0.6516737262973598
Besucher,0.9967092166635995,1.0,-0.2783109698809515,0.9868948019447347,0.8336995544907624,0.3925687331748194,0.43796755478592186,-0.8089690506875102,0.14318929647159584,0.6871783791480904
Besuchsh_ufigkeit,-0.26765396615453274,-0.2783109698809515,1.0,-0.2512311711482238,-0.20105764411213814,-0.0024177066586435294,-0.05446936398726807,0.2883563476000703,0.31167510669197035,-0.2417959546695742
Seitenaufrufe,0.9934196509153801,0.9868948019447347,-0.2512311711482238,1.0,0.8919939431056317,0.40945940596447233,0.45777689667185656,-0.8351821910920331,0.18945664654475403,0.6479460255129383
Seiten_pro_Besuch,0.8411279227866402,0.8336995544907624,-0.20105764411213814,0.8919939431056317,1.0,0.49265012189979346,0.5413278083945108,-0.8970030013842121,0.3372868565497575,0.6567375884036588
Anteil_Besuche_mit_Cookies_pct,0.3847465938973966,0.3925687331748194,-0.0024177066586435294,0.40945940596447233,0.49265012189979346,1.0,0.9945680107644491,-0.5213720240713677,0.01510666830403935,0.592778536892933
Anteil_Besucher_mit_Cookies_pct,0.4319520587198493,0.43796755478592186,-0.05446936398726807,0.45777689667185656,0.5413278083945108,0.9945680107644491,1.0,-0.569184348254906,0.027514410732347276,0.6249135908808122
Bounce_Rate_pct,-0.8075177095593122,-0.8089690506875102,0.2883563476000703,-0.8351821910920331,-0.8970030013842121,-0.5213720240713677,-0.569184348254906,1.0,-0.30840923437724976,-0.7680281644980522
Zeit_im_Besuch_sek,0.15668240893086086,0.14318929647159584,0.31167510669197035,0.18945664654475403,0.3372868565497575,0.01510666830403935,0.027514410732347276,-0.30840923437724976,1.0,0.09820288533399052
Bounce_Zeit_sek,0.6516737262973598,0.6871783791480904,-0.2417959546695742,0.6479460255129383,0.6567375884036588,0.592778536892933,0.6249135908808122,-0.7680281644980522,0.09820288533399052,1.0
